课程名称,学分
生态设计与工程,2
可靠性与维修管理,3
毕业设计(论文)(药学),10
能源经济学,3
风能利用原理与技术,3
英语写作,4
英语写作,4
英语写作,4
英语写作,4
计算生物化学,3
生物统计学模型,2
电机控制技术,3
电机控制技术,3
操作系统,3
计算机体系结构,3
电机控制技术,3
电力系统继电保护,3
电力系统继电保护,3
毕业设计（论文）（机械类）,4
财务管理,3
管理信息系统,3
管理信息系统,3
运营管理,3
运营管理,3
运营管理,3
运营管理,3
世界贸易组织概论,3
世界贸易组织概论,3
环境污染与健康,2
给水排水工程概论,2
工业废气治理技术,2
危险废物控制原理,2
环境经济学,2
自动控制原理,4
隧道与地下工程课程设计,2
建筑结构（2）,2
基坑工程（A类）,3
结构概念设计,2
水工建筑物,2
电力系统继电保护,3
管理学原理（C类）,3
高分子复合材料,2
管理学原理（C类）,3
管理学原理（C类）,3
管理学原理（C类）,3
宏微观经济学,3
中级法语（1）,6
法语语法,3
法语词汇,3
过程控制系统,3
运动控制系统,3
运动控制系统,3
计算机控制技术,3
日语口译（2）,1
论文指导（日语）,1
机械振动,2
计算固体力学与程序设计,4
计算流体力学与程序设计,4
复杂系统动力学计算机辅助设计,4
建筑材料与施工,2
毕业设计（论文）（土木工程）,16
微纳电子科技前沿讲座,2
船舶设计原理课程设计,3
工程实践(A类),4
计算机系统安全,3
数据库原理,3
软件工程（C类）,3
虚拟现实与增强显示技术,3
毕业设计（论文）（生物技术专业）,12
毕业设计（论文）（生物信息专业）,12
毕业设计（论文）（生物工程）,12
科技实习与创新－生物医学工程（1）,2
解剖与生理（2）,2
嵌入式计算机系统及实验,3
医学超声基础,2
生物材料,2
神经生物学,2
生物医学图像处理(2),2
现代机械工程图学,3
燃烧学,3
燃烧学,3
内燃机原理,3
叶轮机械原理,3
能源转换与管理,3
节能原理与技术,3
制冷原理与设备,3
中国现代史专题研究,3
历史文献学,3
作曲技术理论（2）,3
模拟集成电路课程设计,2
食品安全学,3
配器法,3
西方音乐史,3
中国历代文学作品选读,3
世界古代史,3
中国古代史,3
中国对外关系史,3
试唱练耳,3
食品毒理学,3
食品贮藏与物流,3
食品化学,3
食品微生物学,3
食品工艺学,3
数学与应用数学毕业论文,4
概率论与数理统计,3
实变函数,3
抽象代数,3
高等代数,4
数字集成电路设计课程设计,2
传热学,3
传热学,3
传热学,3
传热学,3
传热学,3
传热学,3
工程热力学(2),3
工程热力学(2),3
热力系统设计与实践,3
动物育种学（A类）,2
热力系统设计与实践,3
热力系统设计与实践,3
热力系统设计与实践,3
热力系统设计与实践,3
热力系统设计与实践,3
流体传动与控制,3
有限元方法,3
有限元方法,3
面向制造的设计,3
数字化制造,3
制造装备与生产线设计原理,3
植物生物技术综合实验,2
专业实习（植物科学与技术）,2
园艺科学进展,2
植物育种学实验,1
机器人学,3
机器人学,3
